run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,median_decode_chunk_ms,n_decode_samples,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,80.865234375,0.503662109375,80.361572265625,400.366455078125,60.903076171875,0.0,0.0,542.1347618103027,542.134765625,24,35.40764993522316,24,1,threshold,10,542.1115999342874,-0.02316569071263075,447.13623046875,800.0,0.5589202880859375,1.7891638956685068,542.134765625,0.0,18856.875,10706.864356994629,True,10,long,auto,auto
0,80.49755859375,0.503662109375,79.993896484375,388.30078125,61.98974609375,0.0,0.0,530.7879447937012,530.7880859375,25,35.25050007738173,25,1,threshold,10,531.2674000160769,0.4793140785768628,451.6029052734375,800.0,0.5645036315917968,1.771467788754845,530.7880859375,0.0,19656.875,11228.591680526733,False,10,long,auto,auto
1,81.581787109375,0.503173828125,81.07861328125,398.357666015625,58.384521484375,0.0,0.0,538.3241176605225,538.323974609375,25,37.94700000435114,25,1,threshold,10,538.7107999995351,0.38682539016008377,450.7264404296875,800.0,0.5634080505371094,1.774912515088625,538.323974609375,0.0,19256.875,10986.083984375,False,10,long,auto,auto
2,78.070556640625,1.50634765625,76.564208984375,384.530517578125,51.278564453125,1.0029296875,0.0,513.8795375823975,513.879638671875,25,31.9819999858737,25,1,threshold,10,514.4994000438601,0.6197613719850779,439.6998291015625,800.0,0.5496247863769531,1.8194230405652827,513.879638671875,0.0,19496.875,10851.557731628418,False,10,long,auto,auto
3,75.8642578125,0.505615234375,75.358642578125,390.52978515625,43.859619140625,0.0,0.0,510.2536678314209,510.253662109375,26,30.411450017709285,26,1,threshold,10,510.3125999448821,0.05893783550709486,441.58447265625,800.0,0.5519805908203125,1.8116579036119267,510.253662109375,0.0,20776.875,11538.88988494873,False,10,long,auto,auto
4,79.023681640625,0.505126953125,78.5185546875,390.783203125,46.404541015625,0.502197265625,0.0,516.2112712860107,516.21142578125,25,30.96829995047301,25,1,threshold,10,516.5374999633059,0.32607418205589056,445.7532958984375,800.0,0.5571916198730469,1.7947147163265746,516.21142578125,0.0,19896.875,11187.309503555298,False,10,long,auto,auto
5,79.1650390625,0.50537109375,78.65966796875,383.230712890625,45.213623046875,1.00341796875,0.0,507.60936737060547,507.609375,24,31.317699933424592,24,1,threshold,10,508.33099998999387,0.7216249899938703,444.063720703125,800.0,0.5550796508789062,1.8015432531468456,507.609375,0.0,19016.875,10674.66688156128,False,10,long,auto,auto
6,79.890625,1.509033203125,78.381591796875,400.060302734375,58.67041015625,0.0,0.0,538.6214256286621,538.621337890625,25,37.9103000741452,25,1,threshold,10,538.7840999756008,0.16276208497583866,456.8511962890625,800.0,0.5710639953613281,1.7511172270058317,538.621337890625,0.0,19736.875,11395.634889602661,False,10,long,auto,auto
7,79.0107421875,0.503173828125,78.507568359375,400.777587890625,59.419189453125,0.0,0.0,539.2076969146729,539.20751953125,24,39.589949999935925,24,1,threshold,10,539.4964000442997,0.2888805130496621,450.020751953125,800.0,0.5625259399414062,1.7776957985335964,539.20751953125,0.0,18936.875,10851.206541061401,False,10,long,auto,auto
8,77.550048828125,0.505126953125,77.044921875,389.3310546875,71.186279296875,0.0,0.0,538.0673408508301,538.0673828125,25,37.27739991154522,25,1,threshold,10,538.496799999848,0.42941718734800816,447.2537841796875,800.0,0.5590672302246094,1.7886936417257773,538.0673828125,0.0,19576.875,11130.391359329224,False,10,long,auto,auto
9,79.308349609375,0.5048828125,78.803466796875,393.794189453125,52.388427734375,0.504150390625,0.0,525.4907608032227,525.490966796875,25,31.868399935774505,25,1,threshold,10,525.602399953641,0.11143315676599741,441.1741943359375,800.0,0.5514677429199218,1.8133426892843834,525.490966796875,0.0,19656.875,10950.466394424438,False,10,long,auto,auto
