run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,median_decode_chunk_ms,n_decode_samples,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,79.496337890625,1.0029296875,78.493408203125,393.0751953125,58.311279296875,0.0,0.0,530.8828353881836,530.8828125,4,46.651999931782484,4,1,threshold,10,530.8893999317661,0.006587431766092777,435.38525390625,800.0,0.5442315673828125,1.8374531356366544,530.8828125,0.0,2456.875,1500.349998474121,True,10,short,auto,auto
0,76.032958984375,1.015380859375,75.017578125,390.650634765625,45.752197265625,0.50390625,0.0,512.4356746673584,512.435791015625,4,36.657749966252595,4,1,threshold,10,512.6906000077724,0.2548089921474457,433.315673828125,800.0,0.5416445922851563,1.846229084981866,512.435791015625,0.0,2456.875,1460.024118423462,False,10,short,auto,auto
1,76.20751953125,0.50341796875,75.7041015625,385.46875,51.03564453125,1.002197265625,0.0,512.711763381958,512.7119140625,3,49.05749997124076,3,1,threshold,10,513.5467998916283,0.834885829128325,366.773681640625,788.4375,0.4651905593539437,2.149656694213226,512.7119140625,0.0,1976.875,1252.8109550476074,False,10,short,auto,auto
2,80.02587890625,0.503173828125,79.522705078125,404.20361328125,47.124755859375,0.0,0.0,531.3544273376465,531.354248046875,4,37.98670001560822,4,1,threshold,10,531.3618999207392,0.007651873864233494,440.98681640625,800.0,0.5512335205078125,1.8141131894133917,531.354248046875,0.0,2456.875,1485.8403205871582,False,10,short,auto,auto
3,77.602783203125,0.50390625,77.098876953125,390.570068359375,48.324462890625,1.00341796875,0.0,516.4971351623535,516.497314453125,4,38.073800038546324,4,1,threshold,10,517.2975000459701,0.8001855928450823,430.643798828125,800.0,0.5383047485351562,1.857683779905744,516.497314453125,0.0,2616.875,1556.5314292907715,False,10,short,auto,auto
4,77.822021484375,0.50537109375,77.316650390625,383.063720703125,45.831787109375,1.0029296875,0.0,506.7174434661865,506.717529296875,4,38.97189995041117,4,1,threshold,10,507.39789998624474,0.6803706893697381,423.556884765625,800.0,0.5294461059570312,1.8887663706438855,506.717529296875,0.0,2456.875,1497.8673458099365,False,10,short,auto,auto
5,75.33740234375,0.503173828125,74.834228515625,392.918212890625,46.055908203125,1.002197265625,0.0,514.3115520477295,514.3115234375,4,36.97770001599565,4,1,threshold,10,515.0021000299603,0.6905765924602747,429.404052734375,800.0,0.5367550659179687,1.8630471578126253,514.3115234375,0.0,2456.875,1451.0586261749268,False,10,short,auto,auto
6,75.830810546875,1.0029296875,74.827880859375,386.692138671875,46.4853515625,0.0,0.0,509.00840759277344,509.00830078125,3,43.52850001305342,3,1,threshold,10,509.07209992874414,0.06379914749413729,421.427978515625,788.4375,0.5345103175782798,1.8708712762191884,509.00830078125,0.0,2376.875,1368.4921264648438,False,10,short,auto,auto
7,82.913330078125,0.503173828125,82.41015625,390.272705078125,46.2958984375,0.0,0.0,519.4821357727051,519.48193359375,3,43.07480005081743,3,1,threshold,10,519.4574999623001,-0.02443363144993782,432.337890625,788.4375,0.5483477011494253,1.8236604218524826,519.48193359375,0.0,2376.875,1390.183687210083,False,10,short,auto,auto
8,76.765869140625,0.502685546875,76.26318359375,387.824462890625,57.478271484375,0.503662109375,0.0,522.0687389373779,522.068603515625,4,47.7916500531137,4,1,threshold,10,522.1874000271782,0.1187965115532279,431.57080078125,800.0,0.5394635009765625,1.8536935273466184,522.068603515625,0.0,2456.875,1470.1416492462158,False,10,short,auto,auto
9,75.70556640625,0.5029296875,75.20263671875,393.833984375,62.39697265625,1.0029296875,0.0,531.9364070892334,531.9365234375,3,61.86620006337762,3,1,threshold,10,532.5206000125036,0.5840765750035644,286.524169921875,788.4375,0.36340758769322234,2.7517312072310656,531.9365234375,0.0,1816.875,1113.0149364471436,False,10,short,auto,auto
