metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1789402910914.826,,,,
ttfa_talker_thread_start_ms,1789402912244.752,,,,
ttfa_first_decode_step_ms,1789402934563.5776,,,,
ttfa_first_chunk_emit_ms,1789402935215.306,,,,
ttfa_first_decode_complete_ms,1789402935363.3357,no-registry,0,,
progressive_chunk_emit_ms,1789402935363.8389,,0,,
first_chunk_latency_ms,24449.012994766235,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1789403101273.0967,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,,,
ttfa_talker_thread_start_ms,1789403101276.1157,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,,,
ttfa_first_decode_step_ms,1789403101430.861,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,,,
ttfa_first_chunk_emit_ms,1789403101962.2458,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,,,
ttfa_first_decode_complete_ms,1789403102145.2334,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,0,,
progressive_chunk_emit_ms,1789403102146.2368,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,0,,
ttfa_first_playback_write_ms,1789403102166.9216,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,0,,
progressive_chunk_emit_ms,1789403102706.7705,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,1,,
progressive_chunk_playback_arrival_ms,1789403103041.102,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,0,False,18645
progressive_chunk_audio_duration_ms,776.875,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,0,,
progressive_chunk_emit_ms,1789403103169.3167,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,2,,
progressive_chunk_emit_ms,1789403103739.3997,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,3,,
progressive_chunk_playback_arrival_ms,1789403103891.5964,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,1,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,1,,
progressive_chunk_emit_ms,1789403104290.3452,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,4,,
progressive_chunk_playback_arrival_ms,1789403104582.1196,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,2,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,2,,
progressive_chunk_emit_ms,1789403104873.2908,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,5,,
progressive_chunk_playback_arrival_ms,1789403105431.8376,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,3,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,3,,
progressive_chunk_emit_ms,1789403105443.9233,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,6,,
progressive_chunk_emit_ms,1789403106062.4836,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,7,,
progressive_chunk_playback_arrival_ms,1789403106282.045,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,4,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,4,,
progressive_chunk_emit_ms,1789403106630.6008,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,8,,
progressive_chunk_playback_arrival_ms,1789403106971.0322,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,5,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,5,,
progressive_chunk_emit_ms,1789403107160.7385,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,9,,
progressive_chunk_emit_ms,1789403107681.8516,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,10,,
progressive_chunk_playback_arrival_ms,1789403107821.0315,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,6,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,6,,
progressive_chunk_emit_ms,1789403108207.7534,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,11,,
progressive_chunk_playback_arrival_ms,1789403108671.0469,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,7,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,7,,
progressive_chunk_emit_ms,1789403108743.7742,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,12,,
progressive_chunk_emit_ms,1789403109268.411,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,13,,
progressive_chunk_playback_arrival_ms,1789403109531.1794,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,8,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,8,,
progressive_chunk_emit_ms,1789403109795.023,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,14,,
progressive_chunk_playback_arrival_ms,1789403110210.891,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,9,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,9,,
progressive_chunk_emit_ms,1789403110317.8953,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,15,,
progressive_chunk_emit_ms,1789403111012.1873,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,16,,
progressive_chunk_playback_arrival_ms,1789403111061.055,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,10,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,10,,
progressive_chunk_emit_ms,1789403111798.0425,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,17,,
progressive_chunk_playback_arrival_ms,1789403111910.9915,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,11,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,11,,
progressive_chunk_emit_ms,1789403112517.1177,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,18,,
progressive_chunk_playback_arrival_ms,1789403112601.803,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,12,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,12,,
progressive_chunk_emit_ms,1789403113268.1858,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,19,,
progressive_chunk_playback_arrival_ms,1789403113451.881,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,13,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,13,,
progressive_chunk_emit_ms,1789403113980.1797,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,20,,
progressive_chunk_playback_arrival_ms,1789403114300.9897,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,14,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,14,,
progressive_chunk_emit_ms,1789403114718.5063,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,21,,
progressive_chunk_playback_arrival_ms,1789403114991.0588,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,15,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,15,,
progressive_chunk_emit_ms,1789403115399.4143,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,22,,
progressive_chunk_playback_arrival_ms,1789403115841.1177,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,16,False,19200
progressive_chunk_audio_duration_ms,800.0,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,16,,
progressive_chunk_emit_ms,1789403116110.8293,eed4b56c-ffb8-4be4-bbbb-5acf7ecbc1ab,23,,
