run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,median_decode_chunk_ms,n_decode_samples,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,77.84619140625,1.001953125,76.84423828125,257.443115234375,69.001220703125,0.0,0.0,404.29067611694336,404.29052734375,34,38.538049964699894,34,1,threshold,7,404.2127999709919,-0.0777273727580905,318.568603515625,560.0,0.5688725062779018,1.7578631221658774,404.29052734375,0.0,18616.875,10711.037874221802,True,7,long,auto,auto
0,77.8759765625,0.506103515625,77.369873046875,262.40087890625,46.251953125,0.0,0.0,386.52873039245605,386.52880859375,36,31.17385000223294,36,1,threshold,7,386.64840010460466,0.11959151085466146,319.771728515625,560.0,0.5710209437779018,1.7512492508312432,386.52880859375,0.0,19736.875,11296.00739479065,False,7,long,auto,auto
1,78.4609375,0.503662109375,77.957275390625,257.62646484375,48.339111328125,0.0,0.0,384.4265937805176,384.426513671875,33,32.304099993780255,33,1,threshold,7,384.74190002307296,0.315386351197958,318.49462890625,560.0,0.5687404087611607,1.7582714092325806,384.426513671875,0.0,18296.875,10471.32658958435,False,7,long,auto,auto
2,79.5205078125,1.506591796875,78.013916015625,253.03759765625,47.915771484375,0.0,1.00244140625,381.47616386413574,381.476318359375,35,30.7710999622941,35,1,threshold,7,381.24840008094907,-0.22791827842593193,314.009765625,560.0,0.5607317243303571,1.783384025924751,381.476318359375,0.0,19176.875,10945.45865058899,False,7,long,auto,auto
3,79.49658203125,0.50390625,78.99267578125,260.67529296875,62.896728515625,1.02099609375,0.0,403.06854248046875,403.068603515625,38,38.266849995125085,38,1,threshold,7,403.8511000107974,0.7824964951723814,322.85888671875,560.0,0.5765337262834821,1.73450390568877,403.068603515625,0.0,21256.875,12374.92823600769,False,7,long,auto,auto
4,80.9306640625,1.002685546875,79.927978515625,261.01416015625,58.46484375,0.0,0.0,400.4096984863281,400.40966796875,37,36.59959998913109,37,1,threshold,7,400.3640000009909,-0.04566796775907278,317.5667724609375,560.0,0.5670835222516741,1.7634086704360203,400.40966796875,0.0,20296.875,11626.304149627686,False,7,long,auto,auto
5,80.253662109375,0.50439453125,79.749267578125,258.343505859375,54.75146484375,1.003173828125,0.0,393.34869384765625,393.3486328125,36,36.06819995911792,36,1,threshold,7,394.1227999748662,0.7741671623662114,316.663818359375,560.0,0.5654711042131696,1.7684369591112175,393.3486328125,0.0,20136.875,11491.98293685913,False,7,long,auto,auto
6,75.928466796875,1.002197265625,74.92626953125,263.063232421875,63.48046875,0.503173828125,0.0,402.47225761413574,402.47216796875,33,38.69670000858605,33,1,threshold,7,402.57360006216913,0.10143209341913462,317.837890625,560.0,0.5675676618303571,1.761904469284042,402.47216796875,0.0,18296.875,10469.667673110962,False,7,long,auto,auto
7,79.169921875,0.505126953125,78.664794921875,261.296875,45.1806640625,1.00341796875,0.0,385.6472969055176,385.6474609375,34,30.83489998243749,34,1,threshold,7,386.4204999990761,0.773039061576128,313.583251953125,560.0,0.5599700927734375,1.7858096582393688,385.6474609375,0.0,18616.875,10587.117671966553,False,7,long,auto,auto
8,80.591552734375,0.503662109375,80.087890625,265.7041015625,49.087890625,0.0,0.0,395.383358001709,395.383544921875,35,31.576899928040802,35,1,threshold,7,395.7380000501871,0.3544551283121109,318.1590576171875,560.0,0.5681411743164062,1.760125907444063,395.383544921875,0.0,19496.875,11209.295272827148,False,7,long,auto,auto
9,78.50927734375,1.00341796875,77.505859375,261.386474609375,48.966796875,0.0,0.0,388.86237144470215,388.862548828125,36,31.65845002513379,36,1,threshold,7,388.80069996230304,-0.06184886582195759,317.567626953125,560.0,0.5670850481305804,1.7634039255602698,388.862548828125,0.0,19736.875,11261.885404586792,False,7,long,auto,auto
