utterance_id,listener_id,a_or_b_preferred,a_defects_observed,b_defects_observed,free_text_notes
s-014,L1,equivalent,none,none,
s-015,L1,B,none,none,Seemed like better quality/volume.
s-016,L1,equivalent,none,none,
s-017,L1,equivalent,none,none,
m-011,L1,equivalent,none,none,
m-012,L1,equivalent,none,none,
m-013,L1,equivalent,none,none,
m-014,L1,equivalent,none,none,
l-013,L1,equivalent,none,none,
l-014,L1,equivalent,none,none,
