run_index,seg1_prefill_ms,seg1a_dispatch_overhead_ms,seg1b_prompt_encode_ms,seg2_talker_to_first_chunk_ms,seg3_first_decode_ms,seg4_consumer_cushion_ms,residual_post_ms,first_chunk_latency_ms,measured_t0_to_post_ms,chunks,median_decode_chunk_ms,n_decode_samples,consumer_chunks_held,first_emit_path,first_emit_frames,independent_ttfa_bracket_ms,bracket_slack_ms,median_inter_emit_ms,median_chunk_audio_ms,producer_ratio,producer_rate_P,segment_sum_to_post_ms,reconcile_error_pct,total_audio_ms,generation_wall_ms,is_warmup,chunk_size,utterance,precision,compile
-1,78.940185546875,0.505859375,78.434326171875,256.578857421875,44.829833984375,0.50244140625,0.0,380.34868240356445,380.348876953125,4,37.47739997925237,4,1,threshold,7,380.57630008552223,0.22742313239723444,304.5,560.0,0.54375,1.8390804597701151,380.348876953125,0.0,1816.875,1101.3588905334473,True,7,short,auto,auto
0,77.08642578125,0.508056640625,76.578369140625,253.850341796875,49.76025390625,0.0,0.0,380.69701194763184,380.697021484375,4,38.286799972411245,4,1,threshold,7,380.84810005966574,0.15107857529073954,302.6298828125,560.0,0.5404105050223215,1.850445153649808,380.697021484375,0.0,2136.875,1267.3296928405762,False,7,short,auto,auto
1,79.201416015625,1.002197265625,78.19921875,259.445556640625,47.614990234375,1.002197265625,0.0,386.2619400024414,386.261962890625,4,36.85309999855235,4,1,threshold,7,386.8901999667287,0.6282370761036873,299.76708984375,560.0,0.5352983747209822,1.8681170114167411,386.261962890625,0.0,2056.875,1230.8297157287598,False,7,short,auto,auto
2,78.109619140625,0.503173828125,77.6064453125,258.399658203125,46.43701171875,0.0,0.0,382.946252822876,382.9462890625,4,39.78729998925701,4,1,threshold,7,383.0446000210941,0.09831095859408379,308.447998046875,560.0,0.5507999965122767,1.8155410427235017,382.9462890625,0.0,2056.875,1247.4286556243896,False,7,short,auto,auto
3,76.203857421875,1.015380859375,75.1884765625,261.95556640625,50.624267578125,0.0,0.0,388.78369331359863,388.78369140625,4,45.90824997285381,4,1,threshold,7,389.19949997216463,0.4158085659146309,338.28271484375,560.0,0.6040762765066964,1.6554200833425954,388.78369140625,0.0,2216.875,1403.902292251587,False,7,short,auto,auto
4,76.31201171875,0.50341796875,75.80859375,259.03759765625,65.360107421875,0.0,0.0,400.709867477417,400.709716796875,5,36.67910001240671,5,1,threshold,7,400.7692000595853,0.059483262710273266,311.69921875,560.0,0.5566057477678571,1.796603797230403,400.709716796875,0.0,2376.875,1453.1497955322266,False,7,short,auto,auto
5,81.565673828125,1.013916015625,80.5517578125,262.263916015625,64.715087890625,0.0,0.0,408.54477882385254,408.544677734375,4,47.77975002070889,4,1,threshold,7,408.6943999864161,0.14972225204110146,308.379638671875,560.0,0.5506779261997767,1.8159434987724872,408.544677734375,0.0,2216.875,1348.6387729644775,False,7,short,auto,auto
6,79.083984375,1.017333984375,78.066650390625,259.41552734375,60.900390625,0.50341796875,0.0,399.399995803833,399.39990234375,5,36.157800001092255,5,1,threshold,7,399.40539991948754,0.0054975757375359535,311.1224365234375,560.0,0.5555757795061383,1.7999344767853607,399.39990234375,0.0,2296.875,1415.787696838379,False,7,short,auto,auto
7,81.346923828125,1.01171875,80.335205078125,262.46435546875,52.31640625,1.00341796875,0.0,396.12770080566406,396.127685546875,4,42.90524998214096,4,1,threshold,7,396.8550000572577,0.7273145103827119,297.953369140625,560.0,0.5320595877511161,1.8794887321300835,396.127685546875,0.0,2056.875,1257.554054260254,False,7,short,auto,auto
8,80.375244140625,0.503662109375,79.87158203125,263.25927734375,56.14599609375,1.002685546875,0.0,399.7805118560791,399.780517578125,5,37.00849995948374,5,1,threshold,7,400.44190001208335,0.6613824339583516,314.8406982421875,560.0,0.5622155325753349,1.7786772902187713,399.780517578125,0.0,2536.875,1551.4013767242432,False,7,short,auto,auto
9,76.852783203125,0.503173828125,76.349609375,256.917724609375,50.875,0.0,0.0,384.6454620361328,384.6455078125,5,33.48760004155338,5,1,threshold,7,384.80610004626215,0.16059223376214504,308.263916015625,560.0,0.5504712785993303,1.8166252062132866,384.6455078125,0.0,2776.875,1635.15043258667,False,7,short,auto,auto
