metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1789403647117.371,,,,
ttfa_talker_thread_start_ms,1789403647779.1367,,,,
ttfa_first_decode_step_ms,1789403651269.2642,,,,
ttfa_first_chunk_emit_ms,1789403652082.8232,,,,
ttfa_first_decode_complete_ms,1789403652161.8948,no-registry,0,,
progressive_chunk_emit_ms,1789403652162.8977,,0,,
first_chunk_latency_ms,5045.526742935181,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1789403653206.3032,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,,,
ttfa_talker_thread_start_ms,1789403653208.3257,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,,,
ttfa_first_decode_step_ms,1789403653311.2324,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,,,
ttfa_first_chunk_emit_ms,1789403654609.65,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,,,
ttfa_first_decode_complete_ms,1789403654741.8103,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,0,,
progressive_chunk_emit_ms,1789403654742.814,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,0,,
ttfa_first_playback_write_ms,1789403654763.731,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,0,,
progressive_chunk_emit_ms,1789403656095.9817,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,1,,
progressive_chunk_playback_arrival_ms,1789403656827.5596,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,0,False,47445
progressive_chunk_audio_duration_ms,1976.875,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,0,,
progressive_chunk_emit_ms,1789403657383.8713,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,2,,
progressive_chunk_emit_ms,1789403658803.1118,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,3,,
progressive_chunk_playback_arrival_ms,1789403658877.5874,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,1,,
progressive_chunk_emit_ms,1789403660271.6404,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,4,,
progressive_chunk_playback_arrival_ms,1789403660927.5068,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,2,False,48000
progressive_chunk_audio_duration_ms,2000.0,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,2,,
progressive_chunk_emit_ms,1789403661720.663,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,5,,
progressive_chunk_playback_arrival_ms,1789403662807.599,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,3,False,48000
progressive_chunk_audio_duration_ms,2000.0,3a6fcc84-1f35-49a7-aba2-a338fa8404bf,3,,
