metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1789403432389.0332,,,,
ttfa_talker_thread_start_ms,1789403433051.784,,,,
ttfa_first_decode_step_ms,1789403437115.2117,,,,
ttfa_first_chunk_emit_ms,1789403438074.8318,,,,
ttfa_first_decode_complete_ms,1789403438163.1353,no-registry,0,,
progressive_chunk_emit_ms,1789403438164.2507,,0,,
first_chunk_latency_ms,5775.217533111572,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1789403441646.4265,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,,,
ttfa_talker_thread_start_ms,1789403441648.9473,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,,,
ttfa_first_decode_step_ms,1789403441744.7134,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,,,
ttfa_first_chunk_emit_ms,1789403442962.0684,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,,,
ttfa_first_decode_complete_ms,1789403443098.3044,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,0,,
progressive_chunk_emit_ms,1789403443098.8086,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,0,,
ttfa_first_playback_write_ms,1789403443125.5547,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,0,,
progressive_chunk_emit_ms,1789403444379.4795,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,1,,
progressive_chunk_playback_arrival_ms,1789403445188.7048,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,0,False,47445
progressive_chunk_audio_duration_ms,1976.875,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,0,,
progressive_chunk_emit_ms,1789403445613.7207,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,2,,
progressive_chunk_emit_ms,1789403447017.014,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,3,,
progressive_chunk_playback_arrival_ms,1789403447239.07,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,1,,
progressive_chunk_emit_ms,1789403448510.0798,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,4,,
progressive_chunk_playback_arrival_ms,1789403449289.6086,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,2,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,2,,
progressive_chunk_emit_ms,1789403449766.2656,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,5,,
progressive_chunk_emit_ms,1789403451036.6467,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,6,,
progressive_chunk_playback_arrival_ms,1789403451169.8708,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,3,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,3,,
progressive_chunk_emit_ms,1789403452232.3098,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,7,,
progressive_chunk_playback_arrival_ms,1789403453209.3474,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,4,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,4,,
progressive_chunk_emit_ms,1789403453440.095,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,8,,
progressive_chunk_emit_ms,1789403454728.281,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,9,,
progressive_chunk_emit_ms,1789403455093.2166,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,10,,
first_chunk_latency_ms,1452.3820877075195,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,,,
progressive_chunk_playback_arrival_ms,1789403455258.452,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,5,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,5,,
progressive_chunk_playback_arrival_ms,1789403457139.4277,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,6,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,6,,
progressive_chunk_playback_arrival_ms,1789403459188.6143,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,7,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,7,,
progressive_chunk_playback_arrival_ms,1789403461239.2805,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,8,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,8,,
progressive_chunk_playback_arrival_ms,1789403463288.7354,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,9,False,48000
progressive_chunk_audio_duration_ms,2000.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,9,,
progressive_chunk_playback_arrival_ms,1789403463629.2515,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,10,False,9600
progressive_chunk_audio_duration_ms,400.0,6c88370c-0c56-4d6a-9cf6-c35bcddd2a71,10,,
ttfa_generation_start_ms,1789403466491.8083,5a0e78f8-8484-4f7f-9ccc-554e21ecef84,,,
ttfa_talker_thread_start_ms,1789403466493.3179,5a0e78f8-8484-4f7f-9ccc-554e21ecef84,,,
ttfa_first_decode_step_ms,1789403466631.9412,5a0e78f8-8484-4f7f-9ccc-554e21ecef84,,,
