metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1789403150211.5989,,,,
ttfa_talker_thread_start_ms,1789403150767.424,,,,
ttfa_first_decode_step_ms,1789403154567.726,,,,
ttfa_first_chunk_emit_ms,1789403155204.983,,,,
ttfa_first_decode_complete_ms,1789403155332.3071,no-registry,0,,
progressive_chunk_emit_ms,1789403155332.3071,,0,,
first_chunk_latency_ms,5120.708227157593,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1789403156031.8271,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,,,
ttfa_talker_thread_start_ms,1789403156033.3367,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,,,
ttfa_first_decode_step_ms,1789403156132.9058,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,,,
ttfa_first_chunk_emit_ms,1789403156611.9712,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,,,
ttfa_first_decode_complete_ms,1789403156736.7207,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,0,,
progressive_chunk_emit_ms,1789403156736.7207,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,0,,
ttfa_first_playback_write_ms,1789403156758.411,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,0,,
progressive_chunk_emit_ms,1789403157278.9016,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,1,,
progressive_chunk_playback_arrival_ms,1789403157632.6458,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,0,False,18645
progressive_chunk_audio_duration_ms,776.875,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,0,,
progressive_chunk_emit_ms,1789403157757.7085,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,2,,
progressive_chunk_emit_ms,1789403158293.708,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,3,,
progressive_chunk_playback_arrival_ms,1789403158483.1455,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,1,False,19200
progressive_chunk_audio_duration_ms,800.0,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,1,,
progressive_chunk_emit_ms,1789403158833.375,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,4,,
progressive_chunk_playback_arrival_ms,1789403159172.8665,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,2,False,19200
progressive_chunk_audio_duration_ms,800.0,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,2,,
progressive_chunk_emit_ms,1789403159375.2434,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,5,,
progressive_chunk_emit_ms,1789403159902.2231,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,6,,
progressive_chunk_playback_arrival_ms,1789403160022.3186,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,3,False,19200
progressive_chunk_audio_duration_ms,800.0,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,3,,
progressive_chunk_emit_ms,1789403160483.577,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,7,,
progressive_chunk_playback_arrival_ms,1789403160872.8923,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,4,False,19200
progressive_chunk_audio_duration_ms,800.0,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,4,,
progressive_chunk_emit_ms,1789403161107.545,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,8,,
progressive_chunk_playback_arrival_ms,1789403161552.6682,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,5,False,19200
progressive_chunk_audio_duration_ms,800.0,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,5,,
progressive_chunk_emit_ms,1789403161659.8662,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,9,,
progressive_chunk_emit_ms,1789403162249.9211,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,10,,
progressive_chunk_playback_arrival_ms,1789403162412.3699,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,6,False,19200
progressive_chunk_audio_duration_ms,800.0,5c8f6c58-3500-4042-b7fb-eb5da379e5a2,6,,
