metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1788276634858.4397,585100d1-54ba-4bfc-b448-cc97c59bdb56,,,
ttfa_talker_thread_start_ms,1788276634859.9473,585100d1-54ba-4bfc-b448-cc97c59bdb56,,,
ttfa_first_decode_step_ms,1788276638494.3677,585100d1-54ba-4bfc-b448-cc97c59bdb56,,,
ttfa_first_chunk_emit_ms,1788276639713.9646,585100d1-54ba-4bfc-b448-cc97c59bdb56,,,
ttfa_first_decode_complete_ms,1788276639892.3325,585100d1-54ba-4bfc-b448-cc97c59bdb56,0,,
progressive_chunk_emit_ms,1788276639892.8367,585100d1-54ba-4bfc-b448-cc97c59bdb56,0,,
ttfa_first_playback_write_ms,1788276639912.9727,585100d1-54ba-4bfc-b448-cc97c59bdb56,0,,
first_chunk_latency_ms,5034.3968868255615,585100d1-54ba-4bfc-b448-cc97c59bdb56,,,
progressive_chunk_playback_arrival_ms,1788276641977.6943,585100d1-54ba-4bfc-b448-cc97c59bdb56,0,False,45525
progressive_chunk_audio_duration_ms,1896.875,585100d1-54ba-4bfc-b448-cc97c59bdb56,0,,
