metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1789403595610.317,,,,
ttfa_talker_thread_start_ms,1789403596206.487,,,,
ttfa_first_decode_step_ms,1789403599597.7156,,,,
ttfa_first_chunk_emit_ms,1789403600630.2798,,,,
ttfa_first_decode_complete_ms,1789403600714.2786,no-registry,0,,
progressive_chunk_emit_ms,1789403600714.2786,,0,,
first_chunk_latency_ms,5103.96146774292,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1789403602319.7808,a1865ce5-80bf-4862-99d4-b05fd2aed145,,,
ttfa_talker_thread_start_ms,1789403602321.7917,a1865ce5-80bf-4862-99d4-b05fd2aed145,,,
ttfa_first_decode_step_ms,1789403602470.7534,a1865ce5-80bf-4862-99d4-b05fd2aed145,,,
ttfa_first_chunk_emit_ms,1789403604190.842,a1865ce5-80bf-4862-99d4-b05fd2aed145,,,
ttfa_first_decode_complete_ms,1789403604332.058,a1865ce5-80bf-4862-99d4-b05fd2aed145,0,,
progressive_chunk_emit_ms,1789403604332.058,a1865ce5-80bf-4862-99d4-b05fd2aed145,0,,
ttfa_first_playback_write_ms,1789403604351.7114,a1865ce5-80bf-4862-99d4-b05fd2aed145,0,,
progressive_chunk_emit_ms,1789403606214.2432,a1865ce5-80bf-4862-99d4-b05fd2aed145,1,,
progressive_chunk_playback_arrival_ms,1789403606417.5918,a1865ce5-80bf-4862-99d4-b05fd2aed145,0,False,47445
progressive_chunk_audio_duration_ms,1976.875,a1865ce5-80bf-4862-99d4-b05fd2aed145,0,,
progressive_chunk_emit_ms,1789403607797.476,a1865ce5-80bf-4862-99d4-b05fd2aed145,2,,
progressive_chunk_playback_arrival_ms,1789403608467.1936,a1865ce5-80bf-4862-99d4-b05fd2aed145,1,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,1,,
progressive_chunk_emit_ms,1789403609318.212,a1865ce5-80bf-4862-99d4-b05fd2aed145,3,,
progressive_chunk_playback_arrival_ms,1789403610517.3691,a1865ce5-80bf-4862-99d4-b05fd2aed145,2,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,2,,
progressive_chunk_emit_ms,1789403610826.0173,a1865ce5-80bf-4862-99d4-b05fd2aed145,4,,
progressive_chunk_emit_ms,1789403612160.379,a1865ce5-80bf-4862-99d4-b05fd2aed145,5,,
progressive_chunk_playback_arrival_ms,1789403612396.8608,a1865ce5-80bf-4862-99d4-b05fd2aed145,3,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,3,,
progressive_chunk_emit_ms,1789403613482.8838,a1865ce5-80bf-4862-99d4-b05fd2aed145,6,,
progressive_chunk_playback_arrival_ms,1789403614446.7366,a1865ce5-80bf-4862-99d4-b05fd2aed145,4,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,4,,
progressive_chunk_emit_ms,1789403614824.6465,a1865ce5-80bf-4862-99d4-b05fd2aed145,7,,
progressive_chunk_emit_ms,1789403616095.8037,a1865ce5-80bf-4862-99d4-b05fd2aed145,8,,
progressive_chunk_playback_arrival_ms,1789403616487.2407,a1865ce5-80bf-4862-99d4-b05fd2aed145,5,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,5,,
progressive_chunk_emit_ms,1789403616691.2708,a1865ce5-80bf-4862-99d4-b05fd2aed145,9,,
first_chunk_latency_ms,2012.277364730835,a1865ce5-80bf-4862-99d4-b05fd2aed145,,,
progressive_chunk_playback_arrival_ms,1789403618367.4731,a1865ce5-80bf-4862-99d4-b05fd2aed145,6,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,6,,
progressive_chunk_playback_arrival_ms,1789403620417.0364,a1865ce5-80bf-4862-99d4-b05fd2aed145,7,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,7,,
progressive_chunk_playback_arrival_ms,1789403622467.422,a1865ce5-80bf-4862-99d4-b05fd2aed145,8,False,48000
progressive_chunk_audio_duration_ms,2000.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,8,,
progressive_chunk_playback_arrival_ms,1789403623317.5625,a1865ce5-80bf-4862-99d4-b05fd2aed145,9,False,19200
progressive_chunk_audio_duration_ms,800.0,a1865ce5-80bf-4862-99d4-b05fd2aed145,9,,
ttfa_generation_start_ms,1789403627152.7244,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,,,
ttfa_talker_thread_start_ms,1789403627154.7363,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,,,
ttfa_first_decode_step_ms,1789403627407.8726,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,,,
ttfa_first_chunk_emit_ms,1789403628633.1914,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,,,
ttfa_first_decode_complete_ms,1789403628774.9983,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,0,,
progressive_chunk_emit_ms,1789403628774.9983,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,0,,
ttfa_first_playback_write_ms,1789403628795.0427,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,0,,
progressive_chunk_emit_ms,1789403628998.2847,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,1,,
first_chunk_latency_ms,1622.2739219665527,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,,,
progressive_chunk_playback_arrival_ms,1789403630859.4111,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,0,False,47445
progressive_chunk_audio_duration_ms,1976.875,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,0,,
progressive_chunk_playback_arrival_ms,1789403631209.4236,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,1,False,9600
progressive_chunk_audio_duration_ms,400.0,b09e3f0e-6dce-4b91-ad72-bb3ace8a4c8d,1,,
