metric_name,value,session_id,chunk_index,is_final,audio_data_size
ttfa_generation_start_ms,1789403204870.0078,,,,
ttfa_talker_thread_start_ms,1789403205488.9578,,,,
ttfa_first_decode_step_ms,1789403208943.4688,,,,
ttfa_first_chunk_emit_ms,1789403209540.6907,,,,
ttfa_first_decode_complete_ms,1789403209660.9011,no-registry,0,,
progressive_chunk_emit_ms,1789403209661.9038,,0,,
progressive_chunk_emit_ms,1789403209904.324,,1,,
first_chunk_latency_ms,4791.896104812622,,,,
tts_compile_warmup_priming,1.0,,,,
ttfa_generation_start_ms,1789403214858.6125,3bb27bca-079f-4a90-9ef6-3e589281fecc,,,
ttfa_talker_thread_start_ms,1789403214860.119,3bb27bca-079f-4a90-9ef6-3e589281fecc,,,
ttfa_first_decode_step_ms,1789403215003.6265,3bb27bca-079f-4a90-9ef6-3e589281fecc,,,
ttfa_first_chunk_emit_ms,1789403215468.4473,3bb27bca-079f-4a90-9ef6-3e589281fecc,,,
ttfa_first_decode_complete_ms,1789403215601.921,3bb27bca-079f-4a90-9ef6-3e589281fecc,0,,
progressive_chunk_emit_ms,1789403215601.921,3bb27bca-079f-4a90-9ef6-3e589281fecc,0,,
ttfa_first_playback_write_ms,1789403215623.113,3bb27bca-079f-4a90-9ef6-3e589281fecc,0,,
progressive_chunk_emit_ms,1789403216119.9949,3bb27bca-079f-4a90-9ef6-3e589281fecc,1,,
progressive_chunk_playback_arrival_ms,1789403216496.3623,3bb27bca-079f-4a90-9ef6-3e589281fecc,0,False,18645
progressive_chunk_audio_duration_ms,776.875,3bb27bca-079f-4a90-9ef6-3e589281fecc,0,,
progressive_chunk_emit_ms,1789403216548.8645,3bb27bca-079f-4a90-9ef6-3e589281fecc,2,,
progressive_chunk_emit_ms,1789403217051.1702,3bb27bca-079f-4a90-9ef6-3e589281fecc,3,,
progressive_chunk_playback_arrival_ms,1789403217346.0789,3bb27bca-079f-4a90-9ef6-3e589281fecc,1,False,19200
progressive_chunk_audio_duration_ms,800.0,3bb27bca-079f-4a90-9ef6-3e589281fecc,1,,
progressive_chunk_emit_ms,1789403217556.1355,3bb27bca-079f-4a90-9ef6-3e589281fecc,4,,
progressive_chunk_playback_arrival_ms,1789403218027.3772,3bb27bca-079f-4a90-9ef6-3e589281fecc,2,False,19200
progressive_chunk_audio_duration_ms,800.0,3bb27bca-079f-4a90-9ef6-3e589281fecc,2,,
